,GEOID,OCCUPANCY STATUS_Estimate!!Total,OCCUPANCY STATUS_Estimate!!Total!!Occupied,OCCUPANCY STATUS_Estimate!!Total!!Vacant,YEAR
450,13089020200,1153.0,984.0,169.0,2017.0
451,13089020300,1640.0,1513.0,127.0,2012.0
452,13089020300,1669.0,1525.0,144.0,2013.0
453,13089020300,1657.0,1507.0,150.0,2014.0
454,13089020300,1704.0,1571.0,133.0,2015.0
455,13089020300,1758.0,1630.0,128.0,2016.0
456,13089020300,1763.0,1660.0,103.0,2017.0
457,13121006802,548.0,460.0,88.0,2012.0
458,13121006802,555.0,456.0,99.0,2013.0
459,13121006802,544.0,457.0,87.0,2014.0
460,13121006802,550.0,472.0,78.0,2015.0
461,13121006802,556.0,487.0,69.0,2016.0
462,13121006802,571.0,524.0,47.0,2017.0
463,13121006900,1647.0,1245.0,402.0,2012.0
464,13121006900,1589.0,1178.0,411.0,2013.0
465,13121006900,1590.0,1146.0,444.0,2014.0
466,13121006900,1606.0,1204.0,402.0,2015.0
467,13121006900,1590.0,1236.0,354.0,2016.0
468,13121006900,1612.0,1301.0,311.0,2017.0
469,13121007001,1838.0,1375.0,463.0,2012.0
470,13121007001,1888.0,1333.0,555.0,2013.0
471,13121007001,1873.0,1404.0,469.0,2014.0
472,13121007001,1807.0,1348.0,459.0,2015.0
473,13121007001,1865.0,1392.0,473.0,2016.0
474,13121007001,1893.0,1372.0,521.0,2017.0
475,13121007602,1149.0,989.0,160.0,2012.0
476,13121007602,1158.0,999.0,159.0,2013.0
477,13121007602,1146.0,993.0,153.0,2014.0
478,13121007602,1163.0,973.0,190.0,2015.0
479,13121007602,1187.0,1030.0,157.0,2016.0
480,13121007602,1196.0,1026.0,170.0,2017.0
481,13121007802,3925.0,3187.0,738.0,2012.0
482,13121007802,3998.0,3227.0,771.0,2013.0
483,13121007802,3971.0,3153.0,818.0,2014.0
484,13121007802,4049.0,3299.0,750.0,2015.0
485,13121007802,3822.0,3326.0,496.0,2016.0
486,13121007802,3847.0,3442.0,405.0,2017.0
487,13121002300,1272.0,553.0,719.0,2012.0
488,13121002300,1224.0,497.0,727.0,2013.0
489,13121002300,1169.0,508.0,661.0,2014.0
490,13121002300,1163.0,500.0,663.0,2015.0
491,13121002300,1117.0,495.0,622.0,2016.0
492,13121002300,1167.0,534.0,633.0,2017.0
493,13121002100,1132.0,958.0,174.0,2012.0
494,13121002100,1044.0,870.0,174.0,2013.0
495,13121002100,1090.0,907.0,183.0,2014.0
496,13121002100,1093.0,960.0,133.0,2015.0
497,13121002100,1089.0,904.0,185.0,2016.0
498,13121002100,1113.0,871.0,242.0,2017.0
499,13121007806,2416.0,2180.0,236.0,2012.0
500,13121007806,2453.0,2175.0,278.0,2013.0
501,13121007806,2426.0,2208.0,218.0,2014.0
502,13121007806,2453.0,2280.0,173.0,2015.0
503,13121007806,2499.0,2312.0,187.0,2016.0
504,13121007806,2514.0,2294.0,220.0,2017.0
505,13121007805,1463.0,1288.0,175.0,2012.0
506,13121007805,1444.0,1248.0,196.0,2013.0
507,13121007805,1463.0,1217.0,246.0,2014.0
508,13121007805,1439.0,1161.0,278.0,2015.0
